fragment_smiles,frequency,heavy_atoms,dummy_atoms,logp,mw,tpsa,hbd,hba,rotbonds,fsp3,n_atoms,o_atoms,s_atoms,halogen_count,aromatic_ring_count,aliphatic_ring_count,heterocycles_total,n_heterocycles_count,o_heterocycles_count,s_heterocycles_count,label_lipophilic,label_hydrophilic,label_amphiphilic,label_high_flexibility,label_high_mw,label_high_sp3,label_has_aromatic_ring,label_has_aliphatic_ring,label_high_hbd,label_high_hba,label_high_tpsa,label_low_tpsa,label_acidic,label_basic,label_zwitterionic,label_neutral,label_nucleophilic,label_electrophilic,label_strong_ewg,label_aromatic_ring,label_multi_aromatic,label_has_heterocycle,label_multi_heterocycle,label_n_heterocycle,label_o_heterocycle,label_s_heterocycle,label_has_halogen,label_high_halogen,label_nitrogen_rich,label_oxygen_rich,label_sulfur_rich,label_bioisostere,label_has_amide,label_has_ester
[15*][C@H]1C[C@@H]1F,12,4,1,1.066,59.063,0.0,0,0,0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[8*]C[n+]1cccc([16*])c1,12,7,2,-0.34450000000000025,92.121,3.88,0,0,1,0.16666666666666666,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[14*]c1nc(C)[nH]c(=O)c1Br,12,9,1,0.015419999999999934,188.00399999999996,45.75,1,2,0,0.2,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
[7*]C1N=C(C(C)(C)C)NC1=O,12,10,1,0.4362,139.17799999999997,41.46,1,2,0,0.7142857142857143,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
[16*]c1cc(Cl)cc2ncn(C)c12,12,11,1,1.4013,165.60299999999998,17.82,0,2,0,0.125,2,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[7*]C1N=C(CC(C)C)NC1=O,12,10,1,0.4362,139.17799999999997,41.46,1,2,2,0.7142857142857143,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
[16*]c1cc(Cl)c2c(c1)ncn2C,12,11,1,1.4012999999999998,165.603,17.82,0,2,0,0.125,2,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[16*]c1cc2ncn(C)c2cc1Cl,12,11,1,1.4013,165.60299999999998,17.82,0,2,0,0.125,2,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[16*]c1cc2c(cc1Cl)ncn2C,12,11,1,1.4012999999999998,165.603,17.82,0,2,0,0.125,2,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[8*]C([8*])(O)O,12,3,2,-1.3191000000000002,46.025,40.46,2,2,0,1.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16*]c1c(F)cc(Br)cc1F,12,9,1,1.9019,191.982,0.0,0,0,0,0.0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
[16*]c1ccc(F)c(C#N)c1C,12,10,1,1.1804,134.133,23.79,0,1,0,0.125,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[15*]C1(C)CCCC(O)C1=O,12,9,1,0.8282,127.16299999999998,37.3,1,2,0,0.8571428571428571,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[14*]c1[nH]c2c(F)cccc2c1[16*],12,10,2,0.6561999999999999,133.12499999999997,15.79,1,0,0,0.0,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[15*]C1C[C@]1([15*])C,12,4,2,1.4558,54.092,0.0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[14*]c1c2cc(F)ccc2nn1C,12,11,1,0.8869999999999999,149.148,17.82,0,2,0,0.125,2,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[16*]c1ccc2c(c1)oc(=O)n2C,12,11,1,0.30610000000000004,148.14099999999996,35.14,0,3,0,0.125,1,2,0,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
[10*]N1Cc2cccc([16*])c2C1=O,12,10,2,0.2813,131.134,20.310000000000002,0,1,0,0.125,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
[5*]N1C[C@@H]2C[C@H]1C2[15*],12,6,2,0.49260000000000004,81.118,3.24,0,1,0,1.0,1,0,0,0,0,3,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
